,x,y,z,region,septum,mitral_valve
567,8,91,34,heart_myocardium,0,0
568,8,91,35,heart_myocardium,0,0
569,8,91,36,heart_myocardium,0,0
570,8,92,19,heart_myocardium,0,0
571,8,92,20,heart_myocardium,0,0
572,8,92,21,heart_myocardium,0,0
573,8,92,22,heart_myocardium,0,0
574,8,92,34,heart_myocardium,0,0
575,8,92,35,heart_myocardium,0,0
576,8,92,36,heart_myocardium,0,0
577,8,92,37,heart_myocardium,0,0
578,8,93,18,heart_myocardium,0,0
579,8,93,19,heart_myocardium,0,0
580,8,93,20,heart_myocardium,0,0
581,8,93,35,heart_myocardium,0,0
582,8,93,36,heart_myocardium,0,0
583,8,93,37,heart_myocardium,0,0
584,8,94,17,heart_myocardium,0,0
585,8,94,18,heart_myocardium,0,0
586,8,94,19,heart_myocardium,0,0
587,8,94,36,heart_myocardium,0,0
588,8,94,37,heart_myocardium,0,0
589,8,94,38,heart_myocardium,0,0
590,8,95,17,heart_myocardium,0,0
591,8,95,18,heart_myocardium,0,0
592,8,95,36,heart_myocardium,0,0
593,8,95,37,heart_myocardium,0,0
594,8,95,38,heart_myocardium,0,0
595,8,96,16,heart_myocardium,0,0
596,8,96,17,heart_myocardium,0,0
597,8,96,36,heart_myocardium,0,0
598,8,96,37,heart_myocardium,0,0
599,8,96,38,heart_myocardium,0,0
600,8,97,15,heart_myocardium,0,0
601,8,97,16,heart_myocardium,0,0
602,8,97,37,heart_myocardium,0,0
603,8,97,38,heart_myocardium,0,0
604,8,98,15,heart_myocardium,0,0
605,8,98,37,heart_myocardium,0,0
606,8,98,38,heart_myocardium,0,0
607,8,98,39,heart_myocardium,0,0
608,8,99,14,heart_myocardium,0,0
609,8,99,15,heart_myocardium,0,0
610,8,99,37,heart_myocardium,0,0
611,8,99,38,heart_myocardium,0,0
612,8,99,39,heart_myocardium,0,0
613,8,100,14,heart_myocardium,0,0
614,8,100,38,heart_myocardium,0,0
615,8,100,39,heart_myocardium,0,0
616,8,101,13,heart_myocardium,0,0
617,8,101,14,heart_myocardium,0,0
618,8,101,38,heart_myocardium,0,0
619,8,101,39,heart_myocardium,0,0
620,8,102,13,heart_myocardium,0,0
621,8,102,38,heart_myocardium,0,0
622,8,102,39,heart_myocardium,0,0
623,8,103,13,heart_myocardium,0,0
624,8,103,38,heart_myocardium,0,0
625,8,103,39,heart_myocardium,0,0
626,8,104,12,heart_myocardium,0,0
627,8,104,13,heart_myocardium,0,0
628,8,104,37,heart_myocardium,0,0
629,8,104,38,heart_myocardium,0,0
630,8,105,12,heart_myocardium,0,0
631,8,105,13,heart_myocardium,0,0
632,8,105,37,heart_myocardium,0,0
633,8,105,38,heart_myocardium,0,0
634,8,106,12,heart_myocardium,0,0
635,8,106,13,heart_myocardium,0,0
636,8,106,37,heart_myocardium,0,0
637,8,106,38,heart_myocardium,0,0
638,8,107,12,heart_myocardium,0,0
639,8,107,13,heart_myocardium,0,0
